fecha,temp
2013-06-01,11.379999999999999
2013-07-01,10.64516129032258
2013-08-01,11.12258064516129
2013-09-01,13.28
2013-10-01,17.34193548387097
2013-11-01,19.83
2013-12-01,25.574193548387097
2014-01-01,24.825806451612905
2014-02-01,22.082142857142856
2014-03-01,19.445161290322584
2014-04-01,17.21333333333333
2014-05-01,14.016129032258064
2014-06-01,10.76
2014-07-01,11.370967741935484
2014-08-01,13.219354838709679
2014-09-01,15.053333333333335
2014-10-01,18.845161290322583
2014-11-01,19.736666666666668
2014-12-01,22.306451612903224
2015-01-01,23.393548387096775
2015-02-01,23.646428571428572
2015-03-01,22.306451612903224
2015-04-01,19.573333333333334
2015-05-01,15.96774193548387
2015-06-01,12.5
2015-07-01,11.738709677419354
2015-08-01,13.893548387096773
2015-09-01,13.183333333333334
2015-10-01,14.883870967741936
2015-11-01,19.476666666666667
2015-12-01,23.729032258064517
2016-01-01,24.835483870967742
2016-02-01,25.058620689655175
2016-03-01,20.14516129032258
2016-04-01,16.813333333333333
2016-05-01,11.95483870967742
2016-06-01,9.54
2016-07-01,10.13225806451613
2016-08-01,12.432258064516128
2016-09-01,13.29
2016-10-01,16.49032258064516
2016-11-01,20.076666666666664
2016-12-01,24.296774193548387
2017-01-01,24.74516129032258
2017-02-01,24.114285714285717
2017-03-01,21.64516129032258
2017-04-01,18.016666666666666
2017-05-01,15.16451612903226
2017-06-01,12.59
2017-07-01,12.364516129032259
2017-08-01,13.861290322580645
2017-09-01,14.886666666666667
2017-10-01,16.81935483870968
2017-11-01,19.416666666666668
2017-12-01,23.635483870967743
2018-01-01,24.812903225806455
2018-02-01,24.36785714285714
2018-03-01,21.274193548387096
2018-04-01,20.779999999999998
2018-05-01,15.612903225806452
2018-06-01,9.770000000000001
2018-07-01,10.067741935483872
2018-08-01,11.025806451612903
2018-09-01,15.716666666666667
2018-10-01,16.625806451612902
2018-11-01,20.223333333333336
2018-12-01,21.561290322580643
2019-01-01,23.583870967741937
2019-02-01,23.107142857142858
2019-03-01,19.796774193548387
2019-04-01,18.240000000000002
2019-05-01,14.916129032258064
2019-06-01,13.733333333333333
2019-07-01,10.151612903225805
2019-08-01,10.932258064516128
2019-09-01,13.593333333333334
2019-10-01,16.5
2019-11-01,21.523333333333333
2019-12-01,22.990322580645163
2020-01-01,23.73548387096774
2020-02-01,23.5
2020-03-01,23.154838709677417
2020-04-01,17.41
2020-05-01,14.40967741935484
2020-06-01,11.966666666666667
2020-07-01,9.52258064516129
2020-08-01,12.683870967741935
2020-09-01,13.443333333333333
2020-10-01,16.26451612903226
2020-11-01,20.666666666666668
2020-12-01,22.419354838709676
2021-01-01,24.26451612903226
2021-02-01,22.417857142857144
2021-03-01,21.229032258064517
2021-04-01,19.790000000000003
2021-05-01,13.225806451612904
2021-06-01,10.946666666666665
2021-07-01,10.693548387096774
2021-08-01,11.567741935483872
2021-09-01,14.746666666666666
2021-10-01,17.541935483870965
2021-11-01,20.65
2021-12-01,23.403225806451612
2022-01-01,25.216129032258067
2022-02-01,21.821428571428573
2022-03-01,19.561290322580643
2022-04-01,16.89
2022-05-01,12.464516129032257
2022-06-01,9.326666666666666
2022-07-01,11.53225806451613
2022-08-01,11.964516129032257
2022-09-01,14.413333333333334
2022-10-01,16.700000000000003
2022-11-01,21.626666666666665
2022-12-01,24.016129032258064
2023-01-01,25.467741935483872
2023-02-01,24.446428571428573
2023-03-01,25.187096774193545
2023-04-01,17.85666666666667
2023-05-01,15.438709677419356
2023-06-01,11.936666666666667
2023-07-01,11.82258064516129
2023-08-01,12.509677419354839
2023-09-01,13.770000000000001
2023-10-01,17.009677419354837
2023-11-01,20.146666666666665
2023-12-01,22.238709677419354
2024-01-01,24.683870967741935
2024-02-01,25.337931034482757
2024-03-01,22.096774193548388
2024-04-01,17.873333333333335
2024-05-01,11.567741935483872
2024-06-01,13.120000000000001
2024-07-01,8.67741935483871
2024-08-01,11.345161290322581
2024-09-01,15.473333333333333
2024-10-01,19.029032258064515
2024-11-01,21.386666666666667
2024-12-01,21.958064516129035
2025-01-01,25.325806451612905
2025-02-01,25.457142857142856
2025-03-01,22.200000000000003
2025-04-01,17.04
2025-05-01,15.716129032258063
2025-06-01,10.270000000000001
2025-07-01,11.119354838709677
2025-08-01,12.97741935483871
2025-09-01,15.316666666666666
2025-10-01,18.906451612903226
2025-11-01,20.503333333333334
2025-12-01,25.741935483870968
